trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
528,False,"{'a': 0.1, 'e': 0.0708902705368767}",30,20,20.174783052195494,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
529,False,"{'a': 0.1, 'e': 0.07053581918419231}",20,16,6.472382241877355,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
530,False,"{'a': 0.1, 'e': 0.07018314008827135}",20,6,20.57203579136669,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
531,False,"{'a': 0.1, 'e': 0.06983222438783}",20,14,-0.9007660292909838,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
532,False,"{'a': 0.1, 'e': 0.06948306326589085}",20,10,16.176595999536318,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
533,False,"{'a': 0.1, 'e': 0.0691356479495614}",35,13,25.936246235953153,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
534,False,"{'a': 0.1, 'e': 0.06878996970981359}",20,3,31.095411042485093,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
535,False,"{'a': 0.1, 'e': 0.06844601986126451}",25,17,13.214189397820174,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
536,False,"{'a': 0.1, 'e': 0.06810378976195819}",20,6,21.64201966374781,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
537,False,"{'a': 0.1, 'e': 0.0677632708131484}",20,0,31.38245995694865,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
538,False,"{'a': 0.1, 'e': 0.06742445445908266}",25,17,17.20615229494389,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
539,False,"{'a': 0.1, 'e': 0.06708733218678724}",20,12,13.587158792399148,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
540,False,"{'a': 0.1, 'e': 0.0667518955258533}",30,12,25.259586757557823,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
541,False,"{'a': 0.1, 'e': 0.06641813604822402}",20,6,27.48393652947444,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
542,False,"{'a': 0.1, 'e': 0.0660860453679829}",25,12,21.848835115170058,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
543,False,"{'a': 0.1, 'e': 0.06575561514114299}",20,6,15.031063871655643,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
544,False,"{'a': 0.1, 'e': 0.06542683706543727}",25,15,20.122592388672594,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
545,False,"{'a': 0.1, 'e': 0.06509970288011008}",25,16,17.34726100727325,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
546,False,"{'a': 0.1, 'e': 0.06477420436570952}",25,2,22.94414173424211,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 0}",1
547,False,"{'a': 0.1, 'e': 0.06445033334388098}",25,12,20.31007525485535,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
548,False,"{'a': 0.1, 'e': 0.06412808167716157}",20,14,11.441221423049956,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
549,False,"{'a': 0.1, 'e': 0.06380744126877576}",20,3,13.092756043530686,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
550,False,"{'a': 0.1, 'e': 0.06348840406243188}",20,3,30.576409842901842,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
551,False,"{'a': 0.1, 'e': 0.06317096204211972}",20,13,8.22498144490508,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
552,False,"{'a': 0.1, 'e': 0.06285510723190912}",20,15,10.132464518022317,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
553,False,"{'a': 0.1, 'e': 0.06254083169574957}",30,16,20.792489686931564,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
554,False,"{'a': 0.1, 'e': 0.062228127537270826}",20,5,24.718009495579587,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
555,False,"{'a': 0.1, 'e': 0.06191698689958447}",30,15,17.26572366650949,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
556,False,"{'a': 0.1, 'e': 0.061607401965086545}",25,3,-5.110530631754594,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
557,False,"{'a': 0.1, 'e': 0.06129936495526111}",20,12,16.391863845266876,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
558,False,"{'a': 0.1, 'e': 0.0609928681304848}",20,2,30.405491506696595,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
559,False,"{'a': 0.1, 'e': 0.060687903789832374}",25,11,29.778018439082544,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
560,False,"{'a': 0.1, 'e': 0.06038446427088321}",30,17,22.98069440560203,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
561,False,"{'a': 0.1, 'e': 0.06008254194952879}",20,6,25.171544160694804,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
562,False,"{'a': 0.1, 'e': 0.05978212923978115}",30,16,14.1878514358447,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
563,False,"{'a': 0.1, 'e': 0.05948321859358224}",30,15,23.528912053135233,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
564,False,"{'a': 0.1, 'e': 0.05918580250061433}",30,12,26.103149520066804,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
565,False,"{'a': 0.1, 'e': 0.058889873488111255}",30,12,33.58708469750853,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
566,False,"{'a': 0.1, 'e': 0.058595424120670696}",20,15,10.142198565029918,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
567,False,"{'a': 0.1, 'e': 0.05830244700006734}",25,13,25.01821761523969,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
568,False,"{'a': 0.1, 'e': 0.058010934765067}",20,10,19.28063665068314,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
569,False,"{'a': 0.1, 'e': 0.05772088009124167}",25,14,21.63634332706938,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
570,False,"{'a': 0.1, 'e': 0.05743227569078546}",25,10,16.309164285391752,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
571,False,"{'a': 0.1, 'e': 0.05714511431233153}",20,13,13.307461157384187,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
572,False,"{'a': 0.1, 'e': 0.05685938874076987}",20,10,21.21568391072056,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
573,False,"{'a': 0.1, 'e': 0.056575091797066025}",20,3,18.534516730740375,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
574,False,"{'a': 0.1, 'e': 0.056292216338080694}",25,13,19.260115400935465,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
575,False,"{'a': 0.1, 'e': 0.05601075525639029}",30,13,30.830026056377346,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
576,False,"{'a': 0.1, 'e': 0.05573070148010834}",25,18,13.870303735247994,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
577,False,"{'a': 0.1, 'e': 0.0554520479727078}",20,6,10.005566429238442,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
